TYPMAR3;REGDEP_MAR;GRAGE;NBMARIES
HF-F;7630;35_39;305
HF-F;7630;40_49;326
HF-F;7630;50_59;127
HF-F;7630;60_PL;33
HF-F;7631;14_19;23
HF-F;7631;20_24;296
HF-F;7631;25_29;831
HF-F;7631;30_34;878
HF-F;7631;35_39;474
HF-F;7631;40_49;459
HF-F;7631;50_59;194
HF-F;7631;60_PL;65
HF-F;7632;14_19;2
HF-F;7632;20_24;28
HF-F;7632;25_29;137
HF-F;7632;30_34;114
HF-F;7632;35_39;75
HF-F;7632;40_49;76
HF-F;7632;50_59;44
HF-F;7632;60_PL;9
HF-F;7634;14_19;42
HF-F;7634;20_24;348
HF-F;7634;25_29;819
HF-F;7634;30_34;725
HF-F;7634;35_39;472
HF-F;7634;40_49;412
HF-F;7634;50_59;193
HF-F;7634;60_PL;66
HF-F;7646;14_19;1
HF-F;7646;20_24;22
HF-F;7646;25_29;104
HF-F;7646;30_34;136
HF-F;7646;35_39;67
HF-F;7646;40_49;64
HF-F;7646;50_59;31
HF-F;7646;60_PL;11
HF-F;7648;14_19;0
HF-F;7648;20_24;12
HF-F;7648;25_29;54
HF-F;7648;30_34;36
HF-F;7648;35_39;31
HF-F;7648;40_49;30
HF-F;7648;50_59;13
HF-F;7648;60_PL;3
HF-F;7665;14_19;1
HF-F;7665;20_24;25
HF-F;7665;25_29;106
HF-F;7665;30_34;130
HF-F;7665;35_39;83
HF-F;7665;40_49;73
HF-F;7665;50_59;48
HF-F;7665;60_PL;10
HF-F;7666;14_19;14
HF-F;7666;20_24;103
HF-F;7666;25_29;259
HF-F;7666;30_34;282
HF-F;7666;35_39;184
HF-F;7666;40_49;182
HF-F;7666;50_59;86
HF-F;7666;60_PL;28
HF-F;7681;14_19;5
HF-F;7681;20_24;69
HF-F;7681;25_29;257
HF-F;7681;30_34;228
HF-F;7681;35_39;145
HF-F;7681;40_49;146
HF-F;7681;50_59;46
HF-F;7681;60_PL;14
HF-F;7682;14_19;9
HF-F;7682;20_24;74
HF-F;7682;25_29;174
HF-F;7682;30_34;171
HF-F;7682;35_39;114
HF-F;7682;40_49;97
HF-F;7682;50_59;50
HF-F;7682;60_PL;14
HF-F;8401;14_19;11
HF-F;8401;20_24;168
HF-F;8401;25_29;533
HF-F;8401;30_34;441
HF-F;8401;35_39;283
HF-F;8401;40_49;207
HF-F;8401;50_59;111
HF-F;8401;60_PL;21
HF-F;8403;14_19;2
HF-F;8403;20_24;62
HF-F;8403;25_29;211
HF-F;8403;30_34;185
HF-F;8403;35_39;133
HF-F;8403;40_49;106
HF-F;8403;50_59;49
HF-F;8403;60_PL;13
HF-F;8407;14_19;1
HF-F;8407;20_24;69
HF-F;8407;25_29;260
HF-F;8407;30_34;266
HF-F;8407;35_39;144
HF-F;8407;40_49;147
HF-F;8407;50_59;78
HF-F;8407;60_PL;18
HF-F;8415;14_19;0
HF-F;8415;20_24;16
HF-F;8415;25_29;109
HF-F;8415;30_34;87
HF-F;8415;35_39;48
HF-F;8415;40_49;49
HF-F;8415;50_59;31
HF-F;8415;60_PL;11
HF-F;8426;14_19;10
HF-F;8426;20_24;164
HF-F;8426;25_29;434
HF-F;8426;30_34;370
HF-F;8426;35_39;231
HF-F;8426;40_49;209
HF-F;8426;50_59;97
HF-F;8426;60_PL;32
HF-F;8438;14_19;17
HF-F;8438;20_24;438
HF-F;8438;25_29;1002
HF-F;8438;30_34;890
HF-F;8438;35_39;472
HF-F;8438;40_49;492
HF-F;8438;50_59;196
HF-F;8438;60_PL;61
HF-F;8442;14_19;13
HF-F;8442;20_24;272
HF-F;8442;25_29;607
HF-F;8442;30_34;497
HF-F;8442;35_39;252
HF-F;8442;40_49;248
HF-F;8442;50_59;94
HF-F;8442;60_PL;27
HF-F;8443;14_19;1
HF-F;8443;20_24;45
HF-F;8443;25_29;160
HF-F;8443;30_34;160
HF-F;8443;35_39;78
HF-F;8443;40_49;71
HF-F;8443;50_59;34
HF-F;8443;60_PL;13
HF-F;8463;14_19;2
HF-F;8463;20_24;160
HF-F;8463;25_29;419
HF-F;8463;30_34;410
HF-F;8463;35_39;247
HF-F;8463;40_49;227
HF-F;8463;50_59;105
HF-F;8463;60_PL;28
HF-F;8469;14_19;41
HF-F;8469;20_24;704
HF-F;8469;25_29;1687
HF-F;8469;30_34;1334
HF-F;8469;35_39;649
HF-F;8469;40_49;512
HF-F;8469;50_59;197
HF-F;8469;60_PL;69
HF-F;8473;14_19;8
HF-F;8473;20_24;107
HF-F;8473;25_29;349
HF-F;8473;30_34;292
HF-F;8473;35_39;195
HF-F;8473;40_49;159
HF-F;8473;50_59;59
HF-F;8473;60_PL;15
HF-F;8474;14_19;20
HF-F;8474;20_24;241
HF-F;8474;25_29;693
HF-F;8474;30_34;661
HF-F;8474;35_39;357
HF-F;8474;40_49;282
HF-F;8474;50_59;111
HF-F;8474;60_PL;31
HF-F;9304;14_19;0
HF-F;9304;20_24;43
HF-F;9304;25_29;114
HF-F;9304;30_34;98
HF-F;9304;35_39;75
HF-F;9304;40_49;66
HF-F;9304;50_59;32
HF-F;9304;60_PL;20
HF-F;9305;14_19;0
HF-F;9305;20_24;30
HF-F;9305;25_29;90
HF-F;9305;30_34;108
HF-F;9305;35_39;74
HF-F;9305;40_49;41
HF-F;9305;50_59;33
HF-F;9305;60_PL;9
HF-F;9306;14_19;26
HF-F;9306;20_24;286
HF-F;9306;25_29;867
HF-F;9306;30_34;895
HF-F;9306;35_39;384
HF-F;9306;40_49;426
HF-F;9306;50_59;207
HF-F;9306;60_PL;75
HF-F;9313;14_19;50
HF-F;9313;20_24;655
HF-F;9313;25_29;1650
HF-F;9313;30_34;1449
HF-F;9313;35_39;783
HF-F;9313;40_49;749
HF-F;9313;50_59;296
